DOI,Title,Publication Name,Cover Date
doi:10.1016/j.apcata.2018.04.033,NiyCo1-yMn2Ox microspheres for the selective catalytic reduction of NOx with NH3: The synergetic effects between Ni and Co for improving low-temperature catalytic performance ,Applied Catalysis A: General,2018/6/25
doi:10.1016/S1872-2067(12)60598-1,"Fuel reforming over Ni-based catalysts coupled with selective catalytic reduction of NO
                  x
               
             ",Chinese Journal of Catalysis,2013/7/31
doi:10.1016/j.cej.2019.122302,"Promotional effect of nitrogen-doping on a ceria unary oxide catalyst with rich oxygen vacancies for selective catalytic reduction of NO with NH3
             ",Chemical Engineering Journal,2020/1/1
doi:10.1016/j.jiec.2013.03.010,"Effect of preparation methods on the performance of CeO2/Al2O3 catalysts for selective catalytic reduction of NO with NH3
             ",Journal of Industrial and Engineering Chemistry,2013/11/25
doi:10.1016/j.cattod.2007.04.010,"Activity and stability of Ag–alumina for the selective catalytic reduction of NO
                  x
                with methane in high-content SO2 gas streams ",Catalysis Today,2007/9/30
doi:10.1016/j.cattod.2004.06.145,"Designing the activity/selectivity of surface acidic, basic and redox active sites in the supported K2O–V2O5/Al2O3 catalytic system ",Catalysis Today,2004/10/13
doi:10.1016/j.cej.2021.128643,Boosting nitrous oxide direct decomposition performance based on samarium doping effects ,Chemical Engineering Journal,2021/6/15
doi:10.1016/j.apcatb.2008.09.007,"Detailed kinetic modeling of NO
                  x
                adsorption and NO oxidation over Cu-ZSM-5 ",Applied Catalysis B: Environmental,2009/4/7
doi:10.1016/j.apsusc.2021.152327,Mn doped CeO2-MoO3/γ-Al2O3 catalysts for the enhanced adsorption and catalytic oxidation of Hg0 in oxygen atmosphere ,Applied Surface Science,2022/4/15
doi:10.1016/j.micromeso.2009.07.003,"SBA-15 mesoporous silica modified with metal oxides by MDD method in the role of DeNO
                  x
                catalysts ",Microporous and Mesoporous Materials,2010/1/31
doi:10.1016/S0255-2701(03)00045-X,Experimental and theoretical study of NO decomposition in a catalytic monolith reactor ,Chemical Engineering and Processing: Process Intensification,2004/6/30
doi:10.1016/j.apsusc.2016.05.148,Towards advanced structural analysis of iron oxide clusters on the surface of γ-Al2O3 using EXAFS ,Applied Surface Science,2016/11/15
doi:10.1016/j.jcat.2019.11.006,Synergism between palladium and nickel on Pd-Ni/TiO2 for H2-SCR: A transient DRIFTS study ,Journal of Catalysis,2020/1/31
doi:10.1016/S0927-7757(02)00002-X,"Synthesis, characterization and catalytic properties of titania–silica catalysts ",Colloids and Surfaces A: Physicochemical and Engineering Aspects,2002/7/30
doi:10.1016/j.cattod.2017.05.074,CuO-CeO2 mixed oxide catalyst for the catalytic decomposition of N2O in the presence of oxygen ,Catalysis Today,2017/11/15
doi:10.1016/j.cattod.2022.10.006,"V2O5-WO3 catalysts treated with titanium isopropoxide using a one-step co-precipitation method for selective catalytic reduction with NH3
             ",Catalysis Today,2022/10/14
doi:10.1016/j.apcatb.2017.01.019,"Ceria modified FeMnO
                  x
               —Enhanced performance and sulphur resistance for low-temperature SCR of NOx ",Applied Catalysis B: Environmental,2017/6/5
doi:10.1016/j.jpcs.2018.05.051,"Promotional effect of H2O2 modification on the cerium-tungsten-titanium mixed oxide catalyst for selective catalytic reduction of NO with NH3
             ",Journal of Physics and Chemistry of Solids,2018/10/31
doi:10.1016/S0926-3373(99)00129-0,Studies on the structural evolution of highly active Ir-based catalysts for the selective reduction of NO with reductants in oxidizing conditions ,Applied Catalysis B: Environmental,2000/3/6
doi:10.1016/j.apcatb.2008.10.014,"Screening of doped MnO
                  x
               –CeO2 catalysts for low-temperature NO-SCR ",Applied Catalysis B: Environmental,2009/5/20
doi:10.1016/j.jece.2020.104361,Comparative activity and hydrothermal stability of FeOx- and CeO2-doped Pt-based catalysts for eliminating diesel emissions ,Journal of Environmental Chemical Engineering,2020/10/31
doi:10.1016/j.apcatb.2018.08.050,NOx reduction on Ceria: Impact of lean-rich cycling ,Applied Catalysis B: Environmental,2019/1/31
doi:10.1016/j.cej.2020.125629,Mechanism by which three-dimensional ordered mesoporous CeO2 promotes the activity of VOx-MnOx/CeO2 catalysts for NOx abatement: Atomic-scale insight into the catalytic cycle ,Chemical Engineering Journal,2020/11/1
doi:10.1016/j.mcat.2019.110512,Oxygen vacancy defect engineering in Mn-doped CeO2 nanostructures for nitrogen oxides emission abatement ,Molecular Catalysis,2019/10/31
doi:10.1016/j.apcatb.2013.06.036,"Promoting effect of MoO3 on the NO
                  x
                reduction by NH3 over CeO2/TiO2 catalyst studied with in situ DRIFTS ",Applied Catalysis B: Environmental,2014/1/31
doi:10.1016/j.jiec.2010.01.046,NO presence effects on the reduction of N2O by CO over Al–Pd–Co oxide catalyst ,Journal of Industrial and Engineering Chemistry,2010/5/25
doi:10.1016/j.apcatb.2020.119105,Hydrothermal aging alleviates the inhibition effects of NO2 on Cu-SSZ-13 for NH3-SCR ,Applied Catalysis B: Environmental,2020/10/15
doi:10.1016/j.apsusc.2022.154290,Fe-promoted V/W/TiO2 catalysts for enhanced low-temperature denitrification efficiency ,Applied Surface Science,2022/11/1
doi:10.1016/j.mseb.2010.07.011,Catalytic activity of copper-supported catalyst for NO reduction in the presence of oxygen: Fitting of calcination temperature and copper loading ,Materials Science and Engineering: B,2010/11/25
doi:10.1016/j.apcatb.2014.08.016,"Pt/Ce
                  x
               Pr1−x
               O2 (x
               =1 or 0.9) NO
                  x
                storage–reduction (NSR) catalysts ",Applied Catalysis B: Environmental,2015/2/28
doi:10.1016/j.cej.2015.12.057,Elemental mercury oxidation over manganese-based perovskite-type catalyst at low temperature ,Chemical Engineering Journal,2016/3/15
doi:10.1016/j.jhazmat.2020.124223,"Adjustment of operation temperature window of Mn-Ce oxide catalyst for the selective catalytic reduction of NO
                  x
                with NH3
             ",Journal of Hazardous Materials,2021/3/5
doi:10.1016/j.apcata.2012.06.025,"Effect of H2O on catalytic performance of manganese oxides in NO reduction by NH3
             ",Applied Catalysis A: General,2012/9/26
doi:10.1016/S1381-1169(02)00548-4,Separate/simultaneous catalytic reduction of sulfur dioxide and/or nitric oxide by carbon monoxide over TiO2-promoted cobalt sulfides ,Journal of Molecular Catalysis A: Chemical,2003/3/18
doi:10.1016/j.apcatb.2017.12.075,Boosting catalytic propane oxidation over PGM-free Co3O4 nanocrystal aggregates through chemical leaching: A comparative study with Pt and Pd based catalysts ,Applied Catalysis B: Environmental,2018/6/15
doi:10.1016/j.apsusc.2016.12.241,Promotion of catalytic performance by adding W into Pt/ZrO2 catalyst for selective catalytic oxidation of ammonia ,Applied Surface Science,2017/4/30
doi:10.1016/j.cattod.2020.06.039,Promoting effect of acid sites on NH3-SCO activity with water vapor participation for Pt-Fe/ZSM-5 catalyst ,Catalysis Today,2021/9/15
doi:10.1016/j.cej.2010.11.060,Removal of gaseous elemental mercury over a CeO2–WO3/TiO2 nanocomposite in simulated coal-fired flue gas ,Chemical Engineering Journal,2011/6/1
doi:10.1016/j.mcat.2022.112483,"Co3O4 nanoparticles/Bi2O3 nanosheets: One step synthesis, high-efficiency thermal catalytic performance, and catalytic mechanism research ",Molecular Catalysis,2022/8/31
doi:10.1016/j.apcata.2006.03.017,"Nature of active sites in decane-SCR-NO
                  x
                and NO decomposition over Cu-ZSM-5 zeolites ",Applied Catalysis A: General,2006/6/12
doi:10.1016/j.recm.2022.07.001,"Introduction of ZnO, Sn, and P promoters in CuO/CeO2 catalysts for improved production of dimethyldichlorosilane in the Rochow-Müller reaction ",Resources Chemicals and Materials,2022/12/31
doi:10.1016/j.fuel.2019.116166,Compensation for the differences in LHV of diesel-OME blends by using injector nozzles with different number of holes: Emissions and combustion ,Fuel,2020/1/1
doi:10.1016/S0926-3373(00)00189-2,Selective catalytic reduction of NO by propane on copper containing alumina pillared α-zirconium phosphates ,Applied Catalysis B: Environmental,2001/1/1
doi:10.1016/S1872-2067(19)63297-3,"Selective catalytic reduction of NO
                  x
                by H2 over Pd/TiO2 catalyst ",Chinese Journal of Catalysis,2019/6/30
doi:10.1016/S1872-2067(17)63008-0,Supercritical water syntheses of transition metal-doped CeO2 nano-catalysts for selective catalytic reduction of NO by CO: An in situ diffuse reflectance Fourier transform infrared spectroscopy study ,Chinese Journal of Catalysis,2018/4/30
doi:10.1016/j.apcatb.2021.119939,"Study of Ce, Sb, and Y exchanged titania nanotubes and superior catalytic performance for the selective catalytic reduction of NOx
             ",Applied Catalysis B: Environmental,2021/6/15
doi:10.1016/j.susc.2005.11.063,Characterization of the synthesis and reactivity behavior of nanostructured vanadia model catalysts using XPS and vibrational spectroscopy ,Surface Science,2006/9/15
doi:10.1016/j.apcata.2006.06.030,"Characteristics of vanadia–titania aerogel catalysts for oxidative destruction of 1,2-dichlorobenzene ",Applied Catalysis A: General,2006/9/1
doi:10.1016/j.apcatb.2019.118032,Investigation of an irreversible NOx storage degradation Mode on a Pd/BEA passive NOx adsorber ,Applied Catalysis B: Environmental,2019/12/5
doi:10.1016/j.cej.2017.08.097,"Simultaneous removal of SO2 and NO from flue gas with 
                  
               OH from the catalytic decomposition of gas-phase H2O2 over solid-phase Fe2(SO4)3
             ",Chemical Engineering Journal,2018/1/1
doi:10.1016/j.apcatb.2010.12.016,"NO
                  x
                reduction performance of fresh and aged Fe-zeolites prepared by CVD: Effects of zeolite structure and Si/Al2 ratio ",Applied Catalysis B: Environmental,2011/2/1
doi:10.1016/j.fuproc.2007.11.003,SO2 and NO removal from flue gas over V2O5/AC at lower temperatures — role of V2O5 on SO2 removal ,Fuel Processing Technology,2008/3/31
doi:10.1016/j.apcatb.2014.10.038,"Structure sensitivity of selective catalytic reduction of NO with propylene over Cu-doped Ti0.5Zr0.5O2−δ
                catalysts ",Applied Catalysis B: Environmental,2015/4/30
doi:10.1016/j.jhazmat.2019.120935,Understanding of the high hydrothermal stability of a catalyst prepared from Mn slag for low-temperature selective catalytic reduction of NO ,Journal of Hazardous Materials,2020/1/5
doi:10.1016/j.jcice.2006.10.003,Reduction of NO by activated carbon in the presence of vanadium ,Journal of the Chinese Institute of Chemical Engineers,2007/1/31
doi:10.1016/j.ijhydene.2017.11.120,MnCo2O4 spinel catalysts synthesized by nanocasting method followed by different calcination routes for low-temperature reduction of NOx using various reductants ,International Journal of Hydrogen Energy,2018/3/8
doi:10.1016/S1387-1811(03)00465-7,Accessibility of the Fe-species in Fe/ZSM-5 prepared via FeCl3 sublimation ,Microporous and Mesoporous Materials,2003/10/3
doi:10.1016/j.jcat.2021.01.014,Ta and Mo oxides supported on CeO2-TiO2 for the selective catalytic reduction of NOx with NH3 at low temperature ,Journal of Catalysis,2021/3/31
doi:10.1016/j.apcatb.2005.08.007,On the catalytic nature of Mn/sulfated zirconia for selective reduction of NO with methane ,Applied Catalysis B: Environmental,2006/2/22
doi:10.1016/j.materresbull.2014.09.014,"Effect of Ce/Zr molar ratio on the performance of Cu–Ce
                  x–Zr1−
                  x
               /TiO2 catalyst for selective catalytic reduction of NO
                  x
                with NH3 in diesel exhaust ",Materials Research Bulletin,2014/12/31
doi:10.1016/j.jhazmat.2021.126566,"Co-regulation of dispersion, exposure and defect sites on CeO2 (111) surface for catalytic oxidation of Hg0
             ",Journal of Hazardous Materials,2022/2/15
doi:10.1016/j.energy.2010.02.017,Magnetic field effects on selective catalytic reduction of NO by NH3 over Fe2O3 catalyst in a magnetically fluidized bed ,Energy,2010/5/31
doi:10.1016/j.jhazmat.2020.122459,"Getting insight into the effect of CuO on red mud for the selective catalytic reduction of NO by NH3
             ",Journal of Hazardous Materials,2020/9/5
doi:10.1016/j.vacuum.2021.110384,Tailored activity of Ce–Ni bimetallic modified V2O5/TiO2 catalyst for NH3-SCR with promising wide temperature window ,Vacuum,2021/9/30
doi:10.1016/j.apsusc.2020.145948,Selective synthesis of imines by direct oxidative coupling of amines on Cu-doped CeO2 catalysts ,Applied Surface Science,2020/6/1
doi:10.1016/S0920-5861(00)00296-0,"Characterization and reactivity of pure TiO2–SO4
               2− SCR catalyst: influence of SO4
               2− content ",Catalysis Today,2000/6/25
doi:10.1016/j.apenergy.2017.02.050,Analysis of CO2 emissions and techno-economic feasibility of an electric commercial vehicle ,Applied Energy,2017/5/1
doi:10.1016/j.cej.2017.08.069,Highly dispersed surface active species of Mn/Ce/TiW catalysts for high performance at low temperature NH3-SCR ,Chemical Engineering Journal,2017/12/15
doi:10.1016/j.jcis.2011.08.022,"Surface structure and catalytic properties of MoO3/CeO2 and CuO/MoO3/CeO2
             ",Journal of Colloid and Interface Science,2011/12/15
doi:10.1016/S0926-3373(01)00223-5,Influence of low concentration of SO2 for selective reduction of NO by C3H8 in lean-exhaust conditions on the activity of Ag/Al2O3 catalyst ,Applied Catalysis B: Environmental,2001/11/28
doi:10.1016/S0926-3373(03)00102-4,"Influence of zirconia raw materials on the development of DeNO
                  x
                monolithic catalysts ",Applied Catalysis B: Environmental,2003/9/8
doi:10.1016/j.apcata.2011.08.018,"Study in support effect of In2O3/MO
                  x
                (M=Al, Si, Zr) catalysts for dehydrogenation of propane in the presence of CO2
             ",Applied Catalysis A: General,2011/11/4
doi:10.1016/j.cej.2020.124984,Modular manganese/diatomite-Santa Barbara Amorphous-15 sorbent for moderate-temperature flue gas desulfurization ,Chemical Engineering Journal,2020/9/1
doi:10.1016/j.cattod.2020.05.036,"Acid-pretreated red mud for selective catalytic reduction of NO
                  x
                with NH3: Insights into inhibition mechanism of binders ",Catalysis Today,2021/9/15
doi:10.1016/j.apcatb.2014.06.038,Nanostructured manganese doped ceria solid solutions for CO oxidation at lower temperatures ,Applied Catalysis B: Environmental,2015/1/31
doi:10.1016/j.apcatb.2020.119013,Effect of metal dispersion and support structure of Ni/silicalite-1 catalysts on non-thermal plasma (NTP) activated CO2 hydrogenation ,Applied Catalysis B: Environmental,2020/9/5
doi:10.1016/j.jiec.2014.10.002,"Elemental mercury oxidation from flue gas by microwave catalytic oxidation over Mn/γ-Al2O3
             ",Journal of Industrial and Engineering Chemistry,2015/4/25
doi:10.1016/j.catcom.2015.06.013,Preparation and characterization of CeOx@MnOx core–shell structure catalyst for catalytic oxidation of NO ,Catalysis Communications,2015/9/5
doi:10.1016/j.fuel.2021.121445,Alkali metal-resistant mechanism for selective catalytic reduction of nitric oxide over V2O5/HWO catalysts ,Fuel,2021/11/15
doi:10.1016/j.molcata.2015.12.009,"The role of surface properties of silicotungstic acid doped CeO2 for selective catalytic reduction of NO
                  x
                by NH3: Effect of precipitant ",Journal of Molecular Catalysis A: Chemical,2016/3/31
doi:10.1016/j.jcis.2012.03.040,"Effect of pH value on the microstructure and deNO
                  x
                catalytic performance of titanate nanotubes loaded CeO2
             ",Journal of Colloid and Interface Science,2012/7/1
doi:10.1016/j.jpcs.2022.110782,Insights to sulfur-resistant mechanisms of reduced graphene oxide supported MnOx-CeOy catalysts for low-temperature NH3-SCR ,Journal of Physics and Chemistry of Solids,2022/8/31
doi:10.1016/S0926-3373(02)00208-4,Positive effect of coexisting SO2 on the activity of supported iridium catalysts for NO reduction in the presence of oxygen ,Applied Catalysis B: Environmental,2003/3/10
doi:10.1016/j.mcat.2021.111952,Novel insights into diethylamine catalytic combustion over CuO catalysts supported by SSZ-13: Undesirable product NOx as a crucial intermediate for N2 generation ,Molecular Catalysis,2021/11/30
doi:10.1016/j.molcata.2015.08.005,Zr-SBA-15 supported Ni catalysts for lean NOx reduction ,Journal of Molecular Catalysis A: Chemical,2015/12/1
doi:10.1016/j.apcatb.2004.01.023,"MnO
                  x
               -CeO2 mixed oxides prepared by co-precipitation for selective catalytic reduction of NO with NH3 at low temperatures ",Applied Catalysis B: Environmental,2004/7/30
doi:10.1016/j.jpowsour.2018.03.043,A highly efficient autothermal microchannel reactor for ammonia decomposition: Analysis of hydrogen production in transient and steady-state regimes ,Journal of Power Sources,2018/5/15
doi:10.1016/j.joei.2019.09.006,Elucidate the promotional effects of Sn on Ce-Ti catalysts for NH3-SCR activity ,Journal of the Energy Institute,2020/6/30
doi:10.1016/j.energy.2020.118154,Biodiesel fueled combustion performance and emission characteristics under various intake air temperature and injection timing conditions ,Energy,2020/9/1
doi:10.1016/j.partic.2016.01.003,"La1−x
               Ce
                  x
               MnO3/attapulgite nanocomposites as catalysts for NO reduction with NH3 at low temperature ",Particuology,2016/6/30
doi:10.1016/j.fuel.2017.11.009,Comparative study of coal based catalysts for NO adsorption and NO reduction by CO ,Fuel,2018/2/15
doi:10.1016/j.apsusc.2016.07.136,The poisoning effect of PbO on Mn-Ce/TiO2 catalyst for selective catalytic reduction of NO with NH3 at low temperature ,Applied Surface Science,2016/12/15
doi:10.1016/j.apcatb.2007.09.039,Effect of transition metals addition on the catalyst of manganese/titania for low-temperature selective catalytic reduction of nitric oxide with ammonia ,Applied Catalysis B: Environmental,2008/3/8
doi:10.1016/j.cattod.2020.05.042,Selective catalytic reduction of NOx by H2 over a novel Pd/FeTi catalyst ,Catalysis Today,2021/1/15
doi:10.1016/S0304-3894(00)00304-6,"Synthesis and characterization of catalysts produced from paper mill sludge I. Determination of NO
                  x
                removal capability",Journal of Hazardous Materials,2000/12/30
doi:10.1016/j.catcom.2020.106069,"Synergistic effect of arsenic and different potassium species on V2O5-WO3/TiO2 catalyst poisoning: Comparison of Cl−, SO4
               2− and NO3
               − anions ",Catalysis Communications,2020/9/30
doi:10.1016/j.jece.2022.108030,Enhanced low-temperature CO-SCR denitration performance and mechanism of two-dimensional CuCoAl layered double oxide ,Journal of Environmental Chemical Engineering,2022/6/30
doi:10.1016/j.jes.2019.01.013,"Effect of preparation methods on the performance of CuFe-SSZ-13 catalysts for selective catalytic reduction of NOx with NH3
             ",Journal of Environmental Sciences,2019/7/31
doi:10.1016/j.apcatb.2004.09.012,NO reduction by CH4 over Pd/Co-sulfated zirconia catalysts ,Applied Catalysis B: Environmental,2005/4/8
doi:10.1016/j.chemosphere.2021.133465,"Low-cost Mn–Fe/SAPO-34 catalyst from natural ferromanganese ore and lithium-silicon-powder waste for efficient low-temperature NH3-SCR removal of NO
                  x
               
             ",Chemosphere,2022/4/30
doi:10.1016/j.jcat.2020.08.033,Understanding the high hydrothermal stability and NH3-SCR activity of the fast-synthesized ERI zeolite ,Journal of Catalysis,2020/11/30
doi:10.1016/j.catcom.2015.09.023,"Porous bimetallic Mn2Co1Ox catalysts prepared by a one-step combustion method for the low temperature selective catalytic reduction of NOx with NH3
             ",Catalysis Communications,2015/12/5
doi:10.1016/j.cej.2010.11.020,"The poisoning effect of alkali metals doping over nano V2O5–WO3/TiO2 catalysts on selective catalytic reduction of NOx by NH3
             ",Chemical Engineering Journal,2011/6/1
doi:10.1016/j.apcatb.2016.10.010,Efficient NH3-SCR removal of NOx with highly ordered mesoporous WO3(χ)-CeO2 at low temperatures ,Applied Catalysis B: Environmental,2017/4/30
doi:10.1016/j.mcat.2020.111153,Fabricate surface structure-stabilized Cu/BEA with hydrothermal-resistant via si-deposition for NOx abatement ,Molecular Catalysis,2020/11/30
doi:10.1016/j.jhazmat.2020.122878,Nitric oxide reduction by microbial fuel cell with carbon based gas diffusion cathode for power generation and gas purification ,Journal of Hazardous Materials,2020/11/15
doi:10.1016/j.cattod.2017.05.028,Plasma-catalytic decomposition of nitrous oxide over γ-alumina-supported metal oxides ,Catalysis Today,2018/7/15
doi:10.1016/S0926-3373(02)00041-3,Discovery of new fuel-lean NO reduction catalyst leads using combinatorial methodologies ,Applied Catalysis B: Environmental,2002/9/30
doi:10.1016/j.cattod.2011.10.018,"NO
                  x
                storage/reduction over alkali-metal-nitrate impregnated titanate nanobelt catalysts and investigation of alkali metal cation migration using XPS ",Catalysis Today,2012/4/30
doi:10.1016/j.apcata.2018.10.032,Deactivation mechanism of Cu/Zeolite SCR catalyst under high-temperature rich operation condition ,Applied Catalysis A: General,2019/1/5
doi:10.1016/j.fuel.2022.125424,Mechanistic effect of SO2 on mesoporous CuFeAlZrOx catalyst for simultaneous removal of Hg0 and NO at wide temperature range ,Fuel,2022/12/1
doi:10.1016/j.cattod.2018.04.058,Catalytic oxidation of nitrogen containing compounds for nitrogen determination ,Catalysis Today,2019/2/15
doi:10.1016/j.apcatb.2009.12.023,"Sulfur poisoning resistant mesoporous Mn-base catalyst for low-temperature SCR of NO with NH3
             ",Applied Catalysis B: Environmental,2010/3/12
doi:10.1016/j.apcatb.2021.119919,"Novel low-temperature lean NOx storage materials based on La0.5Sr0.5Fe1-xMxO3-δ/Al2O3 infiltration composites (M = Ti, Zr, Nb) ",Applied Catalysis B: Environmental,2021/6/5
doi:10.1016/j.jcat.2014.04.013,Effects of CeO2 support facets on VOx/CeO2 catalysts in oxidative dehydrogenation of methanol ,Journal of Catalysis,2014/6/30
doi:10.1016/j.apcatb.2021.120867,Progressive regulation of Al sites and Cu distribution to increase hydrothermal stability of hierarchical SSZ-13 for the selective catalytic reduction reaction ,Applied Catalysis B: Environmental,2022/4/30
doi:10.1016/j.apcatb.2021.119991,Impact of gas phase reactions and catalyst poisons on the NH3-SCR activity of a V2O5-WO3/TiO2 catalyst at pre-turbine position ,Applied Catalysis B: Environmental,2021/7/5
doi:10.1016/j.fuproc.2017.07.006,Eu-Mn-Ti mixed oxides for the SCR of NOx with NH3: The effects of Eu-modification on catalytic performance and mechanism ,Fuel Processing Technology,2017/12/1
doi:10.1016/j.apcatb.2008.10.015,A study of copper-exchanged mordenite natural and ZSM-5 zeolites as SCR–NOx catalysts for diesel road vehicles: Simulation by neural networks approach ,Applied Catalysis B: Environmental,2009/5/20
doi:10.1016/j.apcatb.2007.01.015,The influence of Ni load and support material on catalysts for the selective catalytic oxidation of ammonia in gasified biomass ,Applied Catalysis B: Environmental,2007/6/18
doi:10.1016/j.apcatb.2013.05.002,"Effect of V2O5 loading of V2O5/TiO2 catalysts prepared via CVC and impregnation methods on NO
                  x
                removal ",Applied Catalysis B: Environmental,2013/9/30
doi:10.1016/j.fuel.2020.118834,Develop high efficient of NH3-SCR catalysts with wide temperature range by ball-milled method ,Fuel,2020/12/15
doi:10.1016/j.cej.2013.03.078,"Characterization of commercial Cu-SSZ-13 and Cu-SAPO-34 catalysts with hydrothermal treatment for NH3-SCR of NO
                  x
                in diesel exhaust ",Chemical Engineering Journal,2013/6/1
doi:10.1016/j.surfin.2021.101298,Silver embedded in defective twin brush-like ZnO for efficient and stable photocatalytic NO removal ,Surfaces and Interfaces,2021/8/31
doi:10.1016/j.jece.2018.05.015,Synthesis of Ce/Mo-V4O9 nanoparticles with superior visible light photocatalytic activity for Rhodamine-B degradation ,Journal of Environmental Chemical Engineering,2018/4/30
doi:10.1016/j.fuel.2022.125058,Application of Fenton sludge coupled selective acid leaching in selective catalytic reduction of NOx: Performance and mechanisms ,Fuel,2022/10/15
doi:10.1016/j.apcatb.2013.01.048,"A cyclic reaction pathway triggered by ammonia for the selective catalytic reduction of NO
                  x
                by ethanol over Ag/Al2O3
             ",Applied Catalysis B: Environmental,2013/6/5
doi:10.1016/j.catcom.2016.03.010,"Cu–Mn bimetal ion-exchanged SAPO-34 as an active SCR catalyst for removal of NO
                  x
                from diesel engine exhausts ",Catalysis Communications,2016/6/5
doi:10.1016/j.jes.2016.12.001,Effect of barium sulfate modification on the SO2 tolerance of V2O5/TiO2 catalyst for NH3-SCR reaction ,Journal of Environmental Sciences,2017/7/31
doi:10.1016/j.apcatb.2014.03.008,"Selective catalytic reduction of NO
                  x
                by hydrogen (H2-SCR) on WO
                  x
               -promoted Ce
                  z
               Zr1-z
               O2 solids ",Applied Catalysis B: Environmental,2014/9/30
doi:10.1016/j.fuproc.2016.03.003,Performance and mechanism of nitric oxide removal using a thermophilic membrane biofilm reactor ,Fuel Processing Technology,2016/7/31
doi:10.1016/j.cattod.2005.09.030,Direct synthesis of copper faujasite ,Catalysis Today,2005/12/30
doi:10.1016/j.jes.2018.01.024,Alkali resistance promotion of Ce-doped vanadium-titanic-based NH3-SCR catalysts ,Journal of Environmental Sciences,2018/11/30
doi:10.1016/j.apcatb.2016.08.053,Sub-micron Cu/SSZ-13: Synthesis and application as selective catalytic reduction (SCR) catalysts ,Applied Catalysis B: Environmental,2017/2/28
doi:10.1016/j.jcat.2005.08.008,"An in situ XAS study of Cu/ZrO2 catalysts under de-NO
                  x
                reaction conditions ",Journal of Catalysis,2005/10/25
doi:10.1016/j.jcat.2003.07.008,"SCR of lean NO
                  x
                with C3H8 over Co/MFI catalysts: dependence on synthesis condition of MFI and Co location ",Journal of Catalysis,2004/1/1
doi:10.1016/j.apcata.2022.118543,Highly efficient NO direct decomposition over BaMnO3-CeO2 composite catalysts ,Applied Catalysis A: General,2022/3/25
doi:10.1016/j.joei.2020.11.003,Morphology effect of tungsten oxide on Ce/W catalyst for selective catalytic reduction of NO with NH3: Influence of structure-directing agents ,Journal of the Energy Institute,2021/2/28
doi:10.1016/j.apcatb.2004.02.015,"The effect of hydrogen on the selective catalytic reduction of NO in excess oxygen over Ag/Al2O3
             ",Applied Catalysis B: Environmental,2004/8/25
doi:10.1016/j.apsusc.2021.151047,Promoting effect of Ti addition on three-dimensionally ordered macroporous Mn-Ce catalysts for NH3-SCR reaction: Enhanced N2 selectivity and remarkable water resistance ,Applied Surface Science,2021/12/15
doi:10.1016/j.molcata.2013.09.019,Enhanced activity over alkyl/aryl functionalized porous pillared-zirconium phosphates in liquid-phase reaction ,Journal of Molecular Catalysis A: Chemical,2013/12/31
doi:10.1016/j.apcata.2015.10.024,Well-dispersed Pt on TiO2: A highly active and selective catalyst for hydrogenation of 3-nitroacetophenone ,Applied Catalysis A: General,2016/1/5
doi:10.1016/j.fuel.2010.09.001,A study on the reactivity of Ce-based Claus catalysts and the mechanism of its catalysis for removal of H2S contained in coal gas ,Fuel,2011/1/31
doi:10.1016/j.cattod.2022.08.031,Tuning the high-temperature hydrothermal stability of one-pot derived Cu-SSZ-13 in the presence of SO2 for selective catalytic reduction of NOx by ammonia ,Catalysis Today,2022/12/1
doi:10.1016/j.apcatb.2012.03.005,Dry regenerable CuO/γ-Al2O3 catalyst for simultaneous removal of SOx and NOx from flue gas ,Applied Catalysis B: Environmental,2012/5/30
doi:10.1016/S1872-2067(14)60154-6,In situ IR studies of selective catalytic reduction of NO with NH3 on Ce-Ti amorphous oxides ,Chinese Journal of Catalysis,2014/8/31
doi:10.1016/j.molcata.2014.07.004,Catalytic decomposition of N2O over Cu-ZSM-5 nanosheets ,Journal of Molecular Catalysis A: Chemical,2014/11/15
doi:10.1016/j.jtice.2017.05.034,"NO reduction by CO over LaB0.5B′0.5O3 (B=Fe, Mn, B′=Fe, Mn, Co, Cu) perovskite catalysts, an experimental and kinetic study ",Journal of the Taiwan Institute of Chemical Engineers,2017/9/30
doi:10.1016/j.apcata.2021.118374,"Excellent low-temperature NH3-SCR of NO activity and resistance to H2O and SO2 over WaCeOx (a = 0.06, 0.12, 0.18, 0.24) catalysts: Key role of acidity derived from tungsten addition ",Applied Catalysis A: General,2021/10/25
doi:10.1016/j.apcata.2012.04.027,"Investigations of surface VO
                  x
                species and their contributions to activities of VO
                  x
               /Ti0.5Sn0.5O2 catalysts toward selective catalytic reduction of NO by NH3
             ",Applied Catalysis A: General,2012/7/26
doi:10.1016/j.fuproc.2018.06.001,"Rare earth salt of 12-tungstophosphoric acid supported on iron oxide as a catalyst for selective catalytic reduction of NOx
             ",Fuel Processing Technology,2018/9/30
doi:10.1016/j.ceramint.2012.08.069,Catalytic oxidation of carbon monoxide over nanostructured CeO2–Al2O3 prepared by combustion method using polyvinyl alcohol ,Ceramics International,2013/4/30
doi:10.1016/j.mcat.2017.09.019,"Effects of different Zr/Ti ratios on NH3–SCR over MnO
                  x
               /Zr
                  y
               Ti1-y
               O2: Characterization and reaction mechanism ",Molecular Catalysis,2017/12/31
doi:10.1016/j.apcatb.2022.121544,Dual-layer AdSCR monolith catalysts: A new solution for NOx emissions control in cold start applications ,Applied Catalysis B: Environmental,2022/10/15
